;;;;;;;ERRORES;COMPARE V01 (03-04);COMPARE V02 (09-04);COMPARE V03 (12-04)
1;La   ;;ART;ART;2;det;se separado;2;2;2
2;policía;;N;N;3;nsubj;subordinada;3;3;3
3;descubre;;V;V;0;ROOT;;0;0;0
4;un;;ART;ART;6;det;;6;6;6
5;gran;;ADJ;ADJ;6;amod;;6;6;6
6;arsenal;;N;N;3;dobj;;3;3;3
7;de ;;PREP;PREP;8;case;;8;8;8
8;ETA;;N;N;6;nmod;;6;6;6
9;en;;PREP;PREP;10;case;;10;10;10
10;Francia;;N;N;3;nmod;;3;3;3
11;tras;;PREP;PREP;12;case;;12;12;12
12;producir ;;V;V;3;advcl;;3;3;3
13;se ;;P;P;12;mark;;;;
14;un;;ART;ART;15;det;;14;14;14
15;incendio;;N;N;12;dobj;;12;12;12
16;en;;PREP;PREP;18;case;;17;17;17
17;un ;;ART;ART;18;det;;17;17;17
18;chalé;;N;N;12;nmod;;12;12;12
19;.;;PUNCT;PUNCT;3;punct;;3;3;3
;;;;;;;;;;
1;El  ;;ART;ART;2;det;;2;;
2;presidente;;N;N;12;nsubj;;12;;
3;de ;;PREP;PREP;4;case;;4;;
4;Colombia;;N;N;2;nmod;;2;;
5;y;;C;C;7;c;;2;;
6;el;;ART;ART;7;det;;7;;
7;jefe;;N;N;2;conj;;2;;
8;de ;;PREP;PREP;10;case;;10;;
9;las;;ART;ART;10;det;;10;;
10;FARC;;N;N;7;nmod;;7;;
11;se;;P;P;12;dobj;;12;;
12;reúnen;;V;V;0;ROOT;;0;;
13;en;;PREP;PREP;15;case;;15;;
14;la;;ART;ART;15;det;;15;;
15;selva;;N;N;12;nmod/ obl;;12;;
16;y ;;C;C;17;c;;12;;
17;activan;;V;V;12;conj;;12;;
18;el ;;ART;ART;19;det;;19;;
19;proceso;;N;N;17;dobj;;17;;
20;de ;;PREP;PREP;21;case;;21;;
21;paz;;N;N;19;nmod;;19;;
22;.;;PUNCT;PUNCT;12;punct;;12;;
;;;;;;;;;;
1;La  ;;ART;ART;2;det;;2;;
2;viuda;;N;N;5;nsubj;;5;;
3;de ;;PREP;PREP;4;case;;4;;
