1;La;-;ART;ART;-;2;det;;;;;;;;;;;;;;;;
2;policía;-;N;N;-;3;;;;;;;;;;;;;;;;;
3;descubre;-;V;V;-;0;root;;;;;;;;;;;;;;;;
4;un;-;ART;ART;-;6;det;;;;;;;;;;;;;;;;
5;gran;-;ADJ;ADJ;-;6;amod;;;;;;;;;;;;;;;;
6;arsenal;-;N;N;-;3;;;;;;;;;;;;;;;;;
7;de;-;PREP;PREP;-;8;case;;;;;;;;;;;;;;;;
8;ETA;-;NPR;NPR;-;6;nmod;;;;;;;;;;;;;;;;
9;en;-;PREP;PREP;-;10;;;;;;;;;;;;;;;;;
10;Francia;-;NPR;NPR;-;3;;;;;;;;;;;;;;;;;
11;tras;-;PREP;PREP;-;12;;;;;;;;;;;;;;;;;
12;producirse;-;V;V;-;3;;;;;;;;;;;;;;;;;
13;un;-;ART;ART;-;14;det;;;;;;;;;;;;;;;;
14;incendio;-;N;N;-;12;;;;;;;;;;;;;;;;;
15;en;-;PREP;PREP;-;17;;;;;;;;;;;;;;;;;
16;un;-;ART;ART;-;17;det;;;;;;;;;;;;;;;;
17;chalé;-;N;N;-;12;;;;;;;;;;;;;;;;;
18;.;-;PUNCT;PUNCT;-;3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;El;-;ART;ART;-;2;det;;;;;;;;;;;;;;;;
2;presidente;-;N;N;-;12;;;;;;;;;;;;;;;;;
3;de;-;PREP;PREP;-;4;case;;;;;;;;;;;;;;;;
4;Colombia;-;NPR;NPR;-;2;nmod;;;;;;;;;;;;;;;;
5;y;-;C;C;-;2;;;;;;;;;;;;;;;;;
6;el;-;ART;ART;-;7;det;;;;;;;;;;;;;;;;
7;jefe;-;N;N;-;2;nmod;;;;;;;;;;;;;;;;
8;de;-;PREP;PREP;-;10;case;;;;;;;;;;;;;;;;
9;las;-;ART;ART;-;10;det;;;;;;;;;;;;;;;;
10;FARC;-;NPR;NPR;-;7;nmod;;;;;;;;;;;;;;;;
11;se;-;P;P;-;12;;;;;;;;;;;;;;;;;
12;reúnen;-;V;V;-;0;root;;;;;;;;;;;;;;;;
13;en;-;PREP;PREP;-;15;;;;;;;;;;;;;;;;;
14;la;-;ART;ART;-;15;det;;;;;;;;;;;;;;;;
15;selva;-;N;N;-;12;;;;;;;;;;;;;;;;;
16;y;-;C;C;-;12;;;;;;;;;;;;;;;;;
17;activan;-;V;V;-;12;;;;;;;;;;;;;;;;;
18;el;-;ART;ART;-;19;det;;;;;;;;;;;;;;;;
19;proceso;-;N;N;-;17;;;;;;;;;;;;;;;;;
20;de;-;PREP;PREP;-;21;case;;;;;;;;;;;;;;;;
21;paz;-;N;N;-;19;nmod;;;;;;;;;;;;;;;;
22;.;-;PUNCT;PUNCT;-;12;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;La;-;ART;ART;-;2;det;;;;;;;;;;;;;;;;
2;viuda;-;N;N;-;5;;;;;;;;;;;;;;;;;
3;de;-;PREP;PREP;-;4;case;;;;;;;;;;;;;;;;
4;Arias;-;NPR;NPR;-;2;nmod;;;;;;;;;;;;;;;;
